,image,ground_truth,trocr,qwenv2.5_3B,qwenv2.5_7B,smolvlm2,siglib2
21,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1572x217 at 0x749AAE7069D0>,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,,"""تُشكّلُ القيَّادُاتُ المتَّبَدِّية، وَتَقعُ في شمالها وَفي""",,,
22,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=889x126 at 0x749AAE707050>,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,,"""يُبْتَ شَاعِرَ الصَّينِ الكَبِيرِ لِيَ بَاً في زَقْنٍ""",,,
23,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1202x148 at 0x749AAE707590>,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,,"""أَنَا فِي الْحَجِّ هُلْ تَقْلُمْ فَتَذْكِرُ لِلْكِيَمَاتِ الْآتِيَةِ رَبِّنا اللَّهُ""",,,
24,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x309 at 0x749AAE707B50>,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,,"""أساسية، وتدربهم على تقوّي""",,,
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x139 at 0x749AAE70C110>,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,,"""مع البيئة الدائمة وخصوصيتها التقليدية كما تضمّ مشروع""",,,
26,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1251x140 at 0x749AAE70C6D0>,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,,"""عَلَى شُوْرَحِ اجْهَلِيَهِ، يُنْظَلِقُ إِيْضَا عَلَى أَهْمَتِيَّةِ شَعْرَ""",,,
27,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1036x155 at 0x749AAE70CC90>,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,,وَقَدْ ذَهَبَ بَعْضُهُمْ إِلَى رِيْانِ العَرَبِيَّةِ الشَّرَقِيَّةِ كَانَت,,,
28,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1189x132 at 0x749AAE70D250>,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,,"""للطاقة ومياهها تسمعت الأرض حرارةً إلى تحتاجها""",,,
29,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1534x156 at 0x749AAE70D810>,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,,"""لا تقم بجراح في جاجية فرقة، أنت مسؤول عن نتائجى""",,,
30,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1002x132 at 0x749AAE70DD50>,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,,"""يَسْتَعِينُونَ فَرَجَةٌ غَزْبًا وَأَشْتَتَّنَّ قُلُوبَ يَتْيَمُّونَ""",,,
31,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1978x251 at 0x749AAE70E310>,فِي الفُرَصِ وَيَحِقّ لِلطُلّابِ ذَوِي المُتَطَلَّباتِ التَعْلِيمِيَّةِ الخاصَّةِ,,"""فَيُوْمَ الْقَضَاءِ فَجَعَلَ اللَّهُ نَزِيلَاتَ النَّجْمِينَةِ الْخَلْصَةَ""",,,
32,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=929x115 at 0x749AAE70E8D0>,وَذٰلِكَ بِمَدِينَة شانغْهاي تَبْلُغ سَعَة التَخْزِين لَقُرْص الأَشِعَّة,,"""الْأَرْضُ مَدِينَةٌ وَالْجَنَّةُ دُونَ الْمَكَانِ وَالْبَيَانِ""",,,
33,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=613x123 at 0x749AAE70EE90>,إِلّا أَنَّهُ لَم يَتَمَكَّن مَعَ ذٰلِكَ مِن العَضّ,,"""وَأَنْ أَنْتُمْ لَا تَعْلَمُونَ نَفْعَ رِزْقِكُمْ بِالْعَصْرِ""",,,
34,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=234x99 at 0x749AAE70F450>,الأُخْرَى,,"The text in the image is ""الأحمر"".",,,
35,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=881x134 at 0x749AAE70F9D0>,أَمّا الكروم، فَقَد غَرَسَت فِي مَناطِقِ مِن الجَزِيرَةِ,,أَقْلَ الحُرُومِ، فَقَدْ غَرَّسَتْ فِي مَناطِقِ مِنَ الْجَزِيرَةِ,,,
36,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=934x135 at 0x749AAE70FF50>,التَرْبِيَةِ والتكوين، حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَى,,التدريبية والتكوين، خطط يدعم قوي من قبل أعلى,,,
37,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1045x153 at 0x749AAE714550>,الرِيفِيّات اللّاتِي عَمِلْنَ فِي المُدُنِ وَاللّاتِي لَم يُغادِرْنَ,,الريفيات اللّتي كُملَن في المُدنِ وَاللّتي لم يُغادِزْن,,,
38,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1322x444 at 0x749AAE714B10>,وَأَشارُوا فِي حَدِيثهم إِلَى أَنَّ مُسْتَوَياتٍ,,وَ أَشَارُوا فِي خَدِيعٍ هُم إِلَى أَنْ نُسْتَقْوِيَاتٌ,,,
39,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=859x196 at 0x749AAE7150D0>,مَرْحَلَةِ التَعْلِيمِ الثانَوِيِّ,,"""مرحلة التكلم الثانيّة""",,,
40,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=862x113 at 0x749AAE715690>,العَرِيقِ وَالحاضِر المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,,العَريقِيُّ الحاِصمُ المُفيدُ وَالْمُشْتَقِبٌ المُنشُرُ,,,
41,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=769x135 at 0x749AAE715C50>,أَخِيرا لَم تَكُن جَمِيعُها نُصُوصاً حميريه,,أُخْرِجَ أَمْ تَكُن جَمِيعَهَا نُصُورًا حَمِيرِيَةً,,,
42,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1104x124 at 0x749AAE716210>,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,,"""وَبَيَّنَ اللَّهُ إِلَى أَهْمَاتِهِ كُثُرٌ الْفَاسِقُونَ العَادُودُينَ""",,,
43,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1286x137 at 0x749AAE7167D0>,طَبَّقَت عَلَى الأَشْجارِ خِلالَ فَتْرَةٍ الدراسه، حَيْثُ اِعْتَمَدَ,,"The text in the image appears to be a sequence of numbers and symbols, but it is not clear what they represent without additional context. Here is the text as it was provided:

```
v_1 = 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",,,
44,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1314x158 at 0x749AAE716D50>,وَطُرُقِ الإِنْتاجِ بِأَدْنَى مُسْتَوَياتٍ الحراثه، حَيْثُ كانَت العَلاقَةِ,,وطرَّقِ الإنتاج بُدْنِ مستوياتٍ إخراً، حيثُ كنت العلاقة,,,
45,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1341x156 at 0x749AAE717390>,عُمَر الأَشْجارِ مِن أَجْلِ تَجْدِيدِ شَباب الأَشْجارِ وَتَحْسِينِ,,"""من أجمل شباب الأشجار وحسنين""",,,
46,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x177 at 0x749AAE717890>,كِتابِ الأَخ الأُسْتاذ / عَلَى مُصْطَفَى المصراتي ،,,"""كتاب الأخ الأشتاذ / على مُضْطَفَى المُصْرِيّين.""",,,
47,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1074x151 at 0x749AAE717E10>,كانَ أَبْخَل مِن بَرّاً اللّٰه وَأَطْيَب مِن بَرّاً,,"""كَنْ بُخَّلِ جَنْبًاٰ سُوءٌ وَقَطِيبٌ جَنْبًاٰ""",,,
48,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=576x170 at 0x749AAE71C410>,مُشْتَقّه مِن فِعْلٍ شائِع,,مُشْتَقَهِ مِن فِعْلٍ شائع,,,
49,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=666x141 at 0x749AAE71C9D0>,عِلْماً لَقَوْمِيّه فِي الشِعْرِ الجاهِلِيّ,,"""عِندماَ تقوميَه في الشعر الجاهليّ""",,,
50,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x136 at 0x749AAE71CF90>,فِي بِعَضِّ المواسم، أَو كانَ بَقايا نهر، أَثَّرَت,,"""فَإِذَا بَدَأَتْ المُوْسَمُ، أَوْ حَالَنَّ بَقَائِبِ النَّهْرِ، أَثْرَتْ""",,,
51,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1095x135 at 0x749AAE71D550>,لِلشِعْرِ عِنْدَ الجاهِلِيَّيْنِ إِلّا أَنَّنا لا نَجِد حمادا,,"""لِلْشَيْخِ يُنَدَّ الجاهِلِيَّينِ إِنَّا نَحْلِدُ حملاً""",,,
52,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1462x116 at 0x749AAE71DB10>,وَكانَ التُجّارِ الأَجانِبِ قَد حَصَلُوا مُنْذُ القَرْنِ السادِسِ,,"```
y=10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",,,
53,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1064x150 at 0x749AAE71E0D0>,وَالقائِلُونَ إِن سارِقَيْنِ مِن أَصْلِ لَفْظَتَيْنِ سارّه ووج,,"""و اِتَّبِعُونَ سَرِّ رَبِّكُمْ أُضِلُّكُمْ لَا تَجِدُوا دَعْوَةً""",,,
54,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x117 at 0x749AAE71E650>,هٰذا التَقْسِيم وَما رَواهُ الرُواة مِن أَخْبارُ تِلْكَ,,"""الله أعلم، والتقدير له لا حد""",,,
55,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=906x150 at 0x749AAE71EBD0>,وَمِن السُيّاحِ الَّذِينَ اِخْتَلَطُوا بِقَبائِل بِلادِ العَرَبِ ،,,"""وَعَنِ الشَّيْخِ الْأُدْيَنِ إِخْتَارُوا بَقَائِلِ بَلَادِ الْعَرَبِ،""",,,
56,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2250x172 at 0x749AAE71F150>,نُسْخَةً مِن كِتابِها وَقِيمَتُها خَمْسمائَة وَخَمْسَةِ وَأَرْبَعُونَ مِلْيُونِ,,"""جُدُّتُهُمْ يَجِدُونَ - يَجِدُونَ""",,,
57,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1025x194 at 0x749AAE71F6D0>,الجَوِّيَّةِ وَمِن أَشِعَّة شَمْس مُحْرَقَةٍ مُنْهِكه وَمِن إِشْعاع,,الجوّيّة وعين أشعة الشمس مُخْرَقِةٌ من نهيهٌ وعين إشعاع,,,
58,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1137x141 at 0x749AAE71FC50>,المُمَيَّزَةِ بِشَكْلٍ واضح. وَهٰذا مِن وِجْهَةِ نَظَرِنا ما,,"""المُقَيِّرَة بِشكل واضح. وهذا من وجهة نظرنا ما""",,,
59,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1006x128 at 0x749AAE730210>,فِي ذٰلِكَ العامِّ وَهٰذا يَعُود أَساساً إِلَى شِدَّةٍ,,"""يَوْمَ ذَٰلِكَ الْهَدْيُ وَهُدًى يَعْمُرُ أَسْلاكَ إِلَى بَيْتِي""",,,
60,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=915x140 at 0x749AAE730790>,"وَأَمّا ""الخنفري""، صاحِبِ السجل، فَهُوَ ""محمد بِن إِبّان",,"""لَجِل، فُرْ ""حُمْرَ بِإِبْنِ وَأَ ""خَفْرِي""، صاحبُ",,,
61,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1204x147 at 0x749AAE730D10>,الفَنِّ جَرْحَى فَنِّ الأَداءِ وَهُوَ التَمْثِيلِ وَفَنٍّ الإِخْراج,,"""الفرق حُسَي في الأداء وَهُمْ الشَّتَّاءُ وَفَقَرُ الإخْرَجُ""",,,
62,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x157 at 0x749AAE731290>,إِلَى عَثَرَ جِيئَة وَذَهاباً إِلّا أَنَّهُ يَضَع العَرْضِ,,إِلَى عَثْرَ حَيِيَةٍ وَذَهَابًا إِلَّا أَنَّهُ يَضْعَفُ العَزْزُ,,,
63,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1136x144 at 0x749AAE731810>,الصِحِّيَّةِ فِي المَدارِسِ القائِمَةِ وَالمَدارِسِ الجديده، بِناءَ المَدارِسِ,,الصحيحة في الدارس القائمة ولداس الجديده بناء الدارس,,,
64,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=820x110 at 0x749AAE731D90>,يُرَكِّز أَصْحابِ هٰذِهِ النَظَرِيَّةِ عَلَى أَنَّ شِدَّة الأَشِعَّة,,"The text in the image is in Arabic and reads:

""يرجى أصحاب هذه النظرية على أن شدة الأشعة""

This translates to English as:

""Please, those who have this theory, on the intensity of the radiation.""",,,
65,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1235x134 at 0x749AAE732310>,تَعاوُنٍ المَعْهَدِ مَعَ قِسْمِ اللُغَةِ الصِينِيَّةِ بِجامِعَةِ القاهِرَة,,"""تَكْلُّوْنَ المُهَجِّرُ مِنْ قَسْمِ اللَّهِ الْحَسَنَةِ بِعَامَيْنَ القَبْرِ""",,,
66,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1061x163 at 0x749AAE732890>,وَقَد بَقِيَت بِعَضِّ المَواضِع المَذْكُورَة تَسْتَغِلّ مَعادِنها فِي,,وَقُدْ بِقَيْتِ بِعُضٍّ لِلْفَواحِمِ المُذْكُورَةِ نَسْتَنْفِقُ عَصاَدِنَهَا فِي,,,
67,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1919x206 at 0x749AAE732E10>,لِهٰذا فَإِنَّ المُدَّةِ المُقَدَّرَةِ لَنُضُوبه هِيَ مِائَةِ وَخَمْسَةِ,,"""اللهُ لا إلهَ إلاّ هوُ الحكيمُ والخَصِينُ""",,,
68,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1413x137 at 0x749AAE733390>,خَمْسمائَة نُسْخَةً فِي عامَ أَلْفَ وَتِسْعمائَة وَسَبْعَةِ وتسعون،,,"""أنت مهماً وسيدة ونساء في أمانة الفرصة ومساهمة في تحسين""",,,
69,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=941x121 at 0x749AAE733910>,مَجْمَعِ مَعَ نِظامِ تَشْغِيلِ النَوافِذ (وندوز)، وَمِن ثُمَّ,,"""مُجْمَع مَعِنظام تشغيل التناهيد (وندوز)، وَمِنْ نُمَّ""",,,
70,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1121x137 at 0x749AAE733E90>,آل نَصْر المتاخرين، وَبِعَضِّ الأَخْبار المنعلقه بهم، أَمّا,,"""مُؤخِّرُ الأَجْلِ يُحِيِّيُّ [29] نَوْمُ السَّنَةِ""",,,
71,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=702x169 at 0x749AAE73C450>,كما أسس الترك,,"""أحمد بن زيد""",,,
72,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=875x125 at 0x749AAE73C9D0>,مِن جلده! فَلَمّا رَأَى فَرَحِهِ قَد تُضاعِف قال:,,"""هلاو! ألا ترى رؤيتك قد نصحت عنه، قال:",,,
73,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1274x165 at 0x749AAE73CF50>,مِن ناحِيَةٍ وَفِي لِيبِيا مِن ناحِيَةٍ اخري، عَلَى,,من ناحية وُجِي لسيا من ناحية اخري، على,,,
74,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1350x140 at 0x749AAE73D510>,الأَسالِيبِ وَالاِبْتِكارات وَالصِناعاتِ وَالتَقْنِيَّةِ ثُمَّ تَحْوِيرها وَتَطْوِيرِها بِما,,"""الأنابيب والانتكارات والصناعات والتقنية ثم تحسينها وتطويرها بما يُناسب الطلب.""",,,
75,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1276x209 at 0x749AAE73DA50>,عَن طَرِيقِ الأَشِعَّة الكَوْنِيَّة الَّتِي تَمُرّ بِالغِلاف الجَوِّيِّ,,عن طريق الأشعة الكهرومغناطيسية التي تتمحور بالغلاف الجويّ,,,
76,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1631x194 at 0x749AAE73DFD0>,صُور المادَّةُ الرقميه، مِن مِلَفّاتِ تَتَضَمَّن مَخْطُوطاتِ غَيْرِ,,"""صُورِ المَدْرَأَةِ الرَّقِيمِهِ مِن مَلَفَاتٍ تَتَّصَمَّمُ مَخْضُوطَاتٍ غَيْرِيَّة""",,,
77,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1397x144 at 0x749AAE73E550>,ناتِجا عَن قُوَّةٍ نُمُوِّ الأَصْلِ وَالأَصْناف المُسْتَخْدَمَةِ مِن,,"""الله أعلم ونعمان الله على أهل الكتاب""",,,
78,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=928x174 at 0x749AAE73EAD0>,الجَدْوَلُ أَيْض أَنَّ مُكافَحَةِ الحشائش بِدُونِ اِسْتِخْدام,,إِلَّا حُوَّ أَيْضًا أَنْ مُ 2 أَفْجَةٌ لِلشَّاءَشِ بِحُوَّ إِسْتَنْتَجْمَا,,,
79,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=789x102 at 0x749AAE73F050>,الشرقيه، وَلَعَلَّهُ كانَ تاجِرا مِن التُجّارِ الَّذِينَ كانُوا,,"""اشرح كيف ننصح زوجي بـ 4 أمور كالتالي""

This translates to:

""Explain how I advise my husband on the following four things.""",,,
80,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1319x240 at 0x749AAE73F5D0>,لٰكِنَّ دُوَلِ الخَلِيجِ خِلافاً لِدُوَلِ أُخْرَى كَثِيرَةٍ مازالَت,,"""لَحْنُ تَوَّالِ الخَلِيجِ خَلا فَا لَدُّوَ أَخْرَى كَثِيرَةٌ مَازَالَتُ""",,,
81,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1053x146 at 0x749AAE73FB50>,يَتَّضِح مِن البَياناتِ الواره بِنَفْسِ الجَدْوَلُ أَنَّ أَكْثَرَ,,"""يُنصح من البيانات الأولى بفحص الخدمة أن أكثر""",,,
82,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1229x200 at 0x749AAE744110>,رطبه والاخرى صحراويه الى ظروف تتسم بتقلب المناخ,,"""كملة وآخرة لمن ريدا الى نصر وانفسهم بقلاب المناز""",,,
