,image,ground_truth,trocr,qwenv2.5_3B,qwenv2.5_7B,smolvlm2,siglib2
10,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2168x120 at 0x793B441EF0D0>,كيلومتر في نهر جليدي درجة حرارته 8ر1 درجة تحت الصفر، مسجلا رقما قياسيا,,"""الصيام هو نصر يحيي (18, 20) و يُحيي (20, 21)""",,,
11,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2286x141 at 0x793B441EF690>,ناهيك عن الخسارهـ الفادحه للأخشاب و الثروة النباتيه و الحيوانيه والبشريه,,"""للمحل من الممكن أن يختار أحد الأشخاص أو المطور أو المدير أو المدير العام.""",,,
12,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2137x173 at 0x793B441EFC50>, ب س ش ص غ هـ أننا في الحج . هل تعلم فائدة الكلمات,,"""العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية،",,,
13,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2086x122 at 0x793B441F4250>,لايخطئ ، وهي أيضا ليست الإفراط في الواقعية والتى تعتبر,,"""إحصاء""",,,
14,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2465x114 at 0x793B441F4810>,فأما الأدله التاريخية المستقاة من المصادر الأدبيه فهي تنحصر في بعض الكتب,,"""تُعتبر هذه المقالة مُخصصة للأشخاص الذين يرغبون في تعلم المزيد عن (الاسم) في (الوقت).",,,
15,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2017x90 at 0x793B441F4DD0>,وعدم استقرار موظفي الوزارات والمسؤولين الإداريين ، عدم الاعتبار الممنهج للاستحقاق,,"""الدكتور / د. سليمان / م.م / أ.د / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د. سليمان / د",,,
16,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2135x149 at 0x793B441F5390>,مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغـلس,,"""مُسْجِدٌ، كَانَ جَزِيرَةٌ وَكَانَهُ يَبْنِي فِي مَوْهَبَتِهِ وَيُبْنِي فَاتِّقًا إِلَى ١٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠�",,,
17,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2038x119 at 0x793B441F5950>, نائم بكلمات لا أفهمها مثل انقض بغلس له الضابط لزمتك. سألت راجع هل بلغ,,"""الدكتور مصطفى خليل، أستاذ في قسم الآثار والحضارة بجامعة القاهرة.""",,,
18,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1234x527 at 0x793B441F5F10>,دراق، غيظ، ناء ،  بث ، نسر.,,"""دَرَافِنَّ، نَبَثُ، نَلْلَلُ.""",,,
19,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1960x114 at 0x793B441F65D0>,الواردة عن ملوك الحيرة وعرب الحيرة، أنداد الغساسنة، ولذلك لم تكن في جانبهم، وتكاد,,"""العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية،",,,
20,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2156x126 at 0x793B441F6A50>,الخاصة ببرامج العمل  الوطنية  إلى  أن الدولة  تضطلع  إلى  حد,,"""أنا، [الاسم]، [العنوان]، [العنوان الثاني]، [العنوان الثالث]، [العنوان الرابع]، [العنوان الخامس]""",,,
21,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2261x108 at 0x793B441F7010>,فإذا حان وقت النوم وضعت الحشيات على الأرض أو على أسّرة منخفضة من الخشب,,"""مقدمة في تحليل البيانات باستخدام R""",,,
22,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1679x146 at 0x793B441F7690>,الأحرار بأجر نقدي ، واستأجروا عمالاً أحراراً يعملون,,"""أو أبسط من ذلك، نظريّة (2) أو أبسط من ذلك، نظريّة (1)""",,,
23,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2212x140 at 0x793B441F7B90>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,,"""أولى الأهداف الأساسية للجهاز الأمني هي الحفاظ على النظام العام وحماية السكان والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف والمتاحف",,,
24,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1133x816 at 0x793B116F4150>,"لفظ ""أخبار"" بمعنى ""تاريخ""،",,"""لَفظُ ""أَخْبَارٌ"" يَعْنِي ""تَارِيخٌ"".""",,,
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2096x116 at 0x793B116F4710>,حياً لدلالاتة القديمة في الأدب الشعبي المعاصر سواء في مشرق الوطن ومغربه ونستعرض,,صَاحِبُهُ الدِّيْعِيُّ يَا أَسْمَىٰ إِنْجِيٌّ حَيٌّ يَسْتَوِي لَهُ وَمَوْزٍ وَسَمِيعٌ,,,
26,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2068x127 at 0x793B116F4CD0>, ظ ع ك ، ث خ ض، ب س ش، ص غ هـ أننا في الحج هل تعلم فائدة الكلمات التالية لهذا النص:,,"""الله لا إله إلا هو، الحمد لله، والصلاة والسلام على سيدنا محمد (صلى الله عليه وسلم)""",,,
27,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2129x116 at 0x793B116F5290>,بمهمة التدريب مراتز المعلمين والجامعات ، وذلك تحت إشراف وزارة العلوم,,"""الجبر والهندسة المثلثية""",,,
28,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2318x414 at 0x793B116F5850>,الزراعية والريفية،,,1. الحرية والرّاحة,,,
29,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2235x147 at 0x793B116F5E10>,سألت راجح هل بلغ أصعابنا ط ع ك ، ث خ ص، ب س ش، ص غ ه,,"""لقد تم إجراء المعادلات في كندا، حيث تم تطبيقها على مجموعة من البيانات.""",,,
30,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2143x87 at 0x793B116F63D0>,في خفض درجة الحرارة الارص . ومن حانب اخر تمنع الاشعة الحرارية,,"""من محمد وعبد الحراز اموي وها حابب آخر دمت في كرسي""",,,
31,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2470x153 at 0x793B116F6990>,فألفو ذلك وقد هلك من العرب من هلك بالموت والقتل، فحفظوا أقل ذلك، وذهب,,"""من رجوعنا إلى مقدمة هذا الكتاب، نحن نجد أن الفكرة التي تُصَفَّح فيها في هذا الجزء، وسمعتها من قبل، هي:""

This translates to:

""From our return to the beginning of this book, we find that the idea being discussed here is:""

If you need any further assistance or have additional questions, feel free to ask!",,,
32,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1992x113 at 0x793B116F6F50>,أن العقيدة كلما اقتربت من فكرة التدحيد والايمان بالحياة الأخرى.,,السؤال: إذا كانت المسافة 56 كم، وسرعة السّرعة 120 كم/ساعة، فإن مدة الرحلة هي؟,,,
33,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2155x158 at 0x793B116F74D0>, لا أفهمها مثل انقض بغـلس له الضابط لزمتك. سألت راجح هل بلغ,,"""لا تُصوِّرْ أَنْصَارَيْكَ إِلَّا أَصْدَادًا لِرَحْمَتِي، سَأَلِّفُكُمْ رَحْمَةً.""",,,
34,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2240x132 at 0x793B116F7A90>,شهد القرن الماضي إرتفاعاً ملحوظاً في معدلات درجات الحرارة,,"""الإرادة المطلقة (أو محدودة) سلوكيًا،""",,,
